in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,102.0685,space,4.7031,space,4.1988,space,6.8356,space,1.9048,space,9.1782,right,6.0624,right,2.831,a,2007.0987,a,5.6485,0.025,left,2.0191,a,2.9809,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n04405907_5/img_cgaxis_models_48_26_vray_composite_samsung_40_uhd_smart_tv_2011_2011_gray.jpg,n02933112_-18,n04405907_5,flexible,0.764104,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n03928116_0/img_samsung_40_uhd_smart_tv_2011_b02_piano_2000-3_gray.png,random,fixed,n02933112_-18,n04379243_-7,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,random,right,Experiments/experiment_43/1000.jpg,Experiments/experiment_43/1001.jpg,Experiments/experiment_43/1002.jpg,Experiments/experiment_43/1003.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02828884_3/img_buffet_b04_wood_metal_park_bench_2006_gray.jpg,n02933112_4,n02828884_3,flexible,0.895234,n02828884_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02828884_3/img_buffet_b04_wood_metal_park_bench_2006-3_gray.png,foreground,same as foreground,n02933112_4,n02933112_-18,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,random,left,Experiments/experiment_43/0.jpg,Experiments/experiment_43/1.jpg,Experiments/experiment_43/2.jpg,Experiments/experiment_43/3.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,right,2.9263,right,"[""left""]",[1.3097999999968124],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02828884_3/img_napoleon_iii_sofa_b04_wood_metal_park_bench_2002_gray.jpg,n04256520_9,n02828884_3,flexible,0.703268,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n02818832_0/img_stylized_tv_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2007-3_gray.png,random,fixed,n04256520_9,n02828884_3,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_43/4.jpg,Experiments/experiment_43/5.jpg,Experiments/experiment_43/6.jpg,Experiments/experiment_43/7.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,left,"[""right""]",[0.6519000000057531],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02933112_-18/img_b04_wood_metal_park_bench_cgaxis_models_48_26_vray_composite_2005_gray.jpg,n02828884_3,n02933112_-18,flexible,0.84435,n04256520_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2000-3_gray.png,random,fixed,n02828884_3,n02933112_-18,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,foreground,right,Experiments/experiment_43/8.jpg,Experiments/experiment_43/9.jpg,Experiments/experiment_43/10.jpg,Experiments/experiment_43/11.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,right,"[""left""]",[1.4241000000092754],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02933112_4/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_buffet_2002_gray.jpg,n02818832_0,n02933112_4,fixed,0.780205,n02933112_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02933112_4/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_buffet_2002-3_gray.png,foreground,same as foreground,n02818832_0,n03928116_4,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,random,left,Experiments/experiment_43/12.jpg,Experiments/experiment_43/13.jpg,Experiments/experiment_43/14.jpg,Experiments/experiment_43/15.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,left,"[""left""]",[1.1296000000088497],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n02828884_3/img_woven_box_b04_wood_metal_park_bench_2002_gray.jpg,n02883344_-1,n02828884_3,fixed,0.73879,n02828884_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n02828884_3/img_woven_box_b04_wood_metal_park_bench_2002-3_gray.png,foreground,same as foreground,n02883344_-1,n04405907_9,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,right,Experiments/experiment_43/16.jpg,Experiments/experiment_43/17.jpg,Experiments/experiment_43/18.jpg,Experiments/experiment_43/19.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,right,"[""right""]",[1.0405000000000655],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02818832_0/img_meridiani_belmondo_bench_sofa_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2003_gray.jpg,n04256520_5,n02818832_0,flexible,0.728982,n02818832_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02818832_0/img_meridiani_belmondo_bench_sofa_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2003-3_gray.png,foreground,same as foreground,n04256520_5,n02933112_4,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,random,left,Experiments/experiment_43/20.jpg,Experiments/experiment_43/21.jpg,Experiments/experiment_43/22.jpg,Experiments/experiment_43/23.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,left,"[""left""]",[0.9085999999942942],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n02883344_15/img_stylized_tv_microwave_box_2005_gray.jpg,n04405907_8,n02883344_15,flexible,0.820502,n02933112_-2,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02933112_-2/img_napoleon_iii_sofa_sink_base_white_wood_2007-3_gray.png,random,flexible,n04405907_8,n02883344_15,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,foreground,left,Experiments/experiment_43/24.jpg,Experiments/experiment_43/25.jpg,Experiments/experiment_43/26.jpg,Experiments/experiment_43/27.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,left,"[""left""]",[0.9992999999967651],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n02883344_15/img_chair_billiani_doll_microwave_box_2010_gray.jpg,n03001627_8,n02883344_15,fixed,0.735855,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n03928116_0/img_chair_eames_plastic_armchair_b02_piano_2011-3_gray.png,random,flexible,n03001627_8,n02828884_4,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,random,right,Experiments/experiment_43/28.jpg,Experiments/experiment_43/29.jpg,Experiments/experiment_43/30.jpg,Experiments/experiment_43/31.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,left,"[""left""]",[1.3436000000092463],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_4/img_glass_table_dp_33_b_2013__vray_2009_gray.jpg,n04379243_8,n03928116_4,flexible,0.714186,n04405907_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n04405907_5/img_stylized_tv_samsung_40_uhd_smart_tv_2011_2003-3_gray.png,random,fixed,n04379243_8,n03928116_4,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,foreground,right,Experiments/experiment_43/32.jpg,Experiments/experiment_43/33.jpg,Experiments/experiment_43/34.jpg,Experiments/experiment_43/35.jpg,899,1,2023-09-17_11h40.32.452,Occlusion_Psychophysics,2022.1.4,MacIntel,59.99520038,,,right,"[""right""]",[0.657900000006066],False,,0.0,0.0,8.0,8.0,8.0,1.0,,,,,,
