in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,j,69.857,right,4.9942,right,2.9484,right,4.3338,right,1.8628,right,16.2661,right,8.9037,right,13.1656,a,5.0875,right,5.496,0.025,right,1.5001,r,4.6511,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_9/n03928116_0/img_cr-96_bench_b02_piano_2010_gray.jpg,n02828884_9,n03928116_0,flexible,0.764846,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_9/n03928116_0/img_cr-96_bench_b02_piano_2010-3_gray.png,foreground,same as foreground,n02828884_9,n03928116_0,Stimuli/canonical view 2/img_n02828884_9_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,foreground,left,Experiments/experiment_8/1000.jpg,Experiments/experiment_8/1001.jpg,Experiments/experiment_8/1002.jpg,Experiments/experiment_8/1003.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,left,2.1167,a,1.9006,0.0,1.0,1.0,1.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02933112_-2/img_cgaxis_models_48_26_vray_composite_sink_base_white_wood_2005_gray.jpg,n02933112_-18,n02933112_-2,flexible,0.710656,n02933112_-2,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02933112_-2/img_cgaxis_models_48_26_vray_composite_sink_base_white_wood_2005-3_gray.png,foreground,same as foreground,n02933112_-18,n03001627_-2,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,random,left,Experiments/experiment_8/1004.jpg,Experiments/experiment_8/1005.jpg,Experiments/experiment_8/1006.jpg,Experiments/experiment_8/1007.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n03928116_0/img_meridiani_belmondo_bench_sofa_b02_piano_2009_gray.jpg,n04256520_5,n03928116_0,flexible,0.708782,n02818832_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02818832_3/img_b03_box_b05_ccm_contemporary_bed_max2013_2013-3_gray.png,random,fixed,n04256520_5,n04405907_9,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,right,Experiments/experiment_8/0.jpg,Experiments/experiment_8/1.jpg,Experiments/experiment_8/2.jpg,Experiments/experiment_8/3.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,right,3.285,right,"[""left""]",[1.2475000000000591],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n04256520_9/img_bed01_blue_napoleon_iii_sofa_2003_gray.jpg,n02818832_9,n04256520_9,fixed,0.837589,n04379243_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n04379243_8/img_quatre_dining_table_glass_table_2012-3_gray.png,random,flexible,n02818832_9,n02933112_4,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,random,left,Experiments/experiment_8/4.jpg,Experiments/experiment_8/5.jpg,Experiments/experiment_8/6.jpg,Experiments/experiment_8/7.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,right,"[""right""]",[1.430399999990982],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02883344_15/img_cgaxis_models_48_26_vray_composite_microwave_box_2002_gray.jpg,n02933112_-18,n02883344_15,flexible,0.70056,n02883344_15,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-18/n02883344_15/img_cgaxis_models_48_26_vray_composite_microwave_box_2002-3_gray.png,foreground,same as foreground,n02933112_-18,n04379243_8,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,random,left,Experiments/experiment_8/8.jpg,Experiments/experiment_8/9.jpg,Experiments/experiment_8/10.jpg,Experiments/experiment_8/11.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,left,"[""left""]",[0.9967000000029884],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02828884_3/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_b04_wood_metal_park_bench_2000_gray.jpg,n02818832_0,n02828884_3,fixed,0.861566,n02828884_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02828884_3/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_b04_wood_metal_park_bench_2000-3_gray.png,foreground,same as foreground,n02818832_0,n02828884_3,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,left,Experiments/experiment_8/12.jpg,Experiments/experiment_8/13.jpg,Experiments/experiment_8/14.jpg,Experiments/experiment_8/15.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,left,"[""left""]",[1.2304000000059432],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02818832_3/img_b03_box_b05_ccm_contemporary_bed_max2013_2014_gray.jpg,n02883344_0,n02818832_3,flexible,0.742363,n02818832_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02818832_3/img_b03_box_b05_ccm_contemporary_bed_max2013_2014-3_gray.png,foreground,same as foreground,n02883344_0,n04256520_4,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,left,Experiments/experiment_8/16.jpg,Experiments/experiment_8/17.jpg,Experiments/experiment_8/18.jpg,Experiments/experiment_8/19.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,right,"[""right""]",[0.9647999999970125],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n03928116_4/img_vray_004_dp_33_b_2013__vray_2006_gray.jpg,n04405907_9,n03928116_4,fixed,0.739185,n02883344_15,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02883344_15/img_b04_wood_metal_park_bench_microwave_box_2010-3_gray.png,random,fixed,n04405907_9,n03928116_4,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,foreground,right,Experiments/experiment_8/20.jpg,Experiments/experiment_8/21.jpg,Experiments/experiment_8/22.jpg,Experiments/experiment_8/23.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,left,"[""left""]",[1.1803999999910957],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02883344_-1/img_b04_wood_metal_park_bench_woven_box_2011_gray.jpg,n02828884_3,n02883344_-1,fixed,0.856768,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n02883344_-1/img_b04_wood_metal_park_bench_woven_box_2011-3_gray.png,foreground,same as foreground,n02828884_3,n02883344_-1,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,foreground,right,Experiments/experiment_8/24.jpg,Experiments/experiment_8/25.jpg,Experiments/experiment_8/26.jpg,Experiments/experiment_8/27.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,left,"[""right""]",[1.5634999999999764],True,right,1.0,0.0,6.0,6.0,6.0,1.0,2.0843,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02828884_3/img_bed01_blue_b04_wood_metal_park_bench_2005_gray.jpg,n02818832_9,n02828884_3,fixed,0.712711,n02828884_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02828884_3/img_bed01_blue_b04_wood_metal_park_bench_2005-3_gray.png,foreground,same as foreground,n02818832_9,n02828884_3,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_8/28.jpg,Experiments/experiment_8/29.jpg,Experiments/experiment_8/30.jpg,Experiments/experiment_8/31.jpg,740,1,2023-05-26_13h03.02.990,Occlusion_Psychophysics,2022.1.4,Win32,60.08532116,,,left,"[""left""]",[1.0305000000000746],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
