in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,h,22.3926,h,3.4543,h,2.391,h,2.9921,h,1.8064,h,8.044,h,9.3548,h,1.7887,a,5.099,n,5.0196,0.05,right,4.7496,r,6.1087,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n02818832_9/img_meridiani_belmondo_bench_sofa_bed01_blue_2009_gray.jpg,n04256520_5,n02818832_9,flexible,0.865923,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04070727_5/n02818832_0/img_b05_db_apps_tech_06_13_composite_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2015-3_gray.png,random,fixed,n04256520_5,n02818832_9,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,left,Experiments/experiment_37/1000.jpg,Experiments/experiment_37/1001.jpg,Experiments/experiment_37/1002.jpg,Experiments/experiment_37/1003.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,left,2.7796,r,2.9687,0.0,1.0,1.0,1.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n04405907_9/img_b04_wood_metal_park_bench_vray_004_2010_gray.jpg,n02828884_3,n04405907_9,fixed,0.70461,n03928116_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n03928116_4/img_ydp_103_r_2012__vray_dp_33_b_2013__vray_2005-3_gray.png,random,fixed,n02828884_3,n04405907_9,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,foreground,right,Experiments/experiment_37/1004.jpg,Experiments/experiment_37/1005.jpg,Experiments/experiment_37/1006.jpg,Experiments/experiment_37/1007.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,left,2.2826,r,2.7125,0.0,2.0,2.0,2.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n02818832_0/img_sink_base_white_wood_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2011_gray.jpg,n02933112_-2,n02818832_0,fixed,0.805191,n02818832_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n02818832_0/img_sink_base_white_wood_b03_the_sofa_and_chair_company_-_stanley_bed_2014_2011-3_gray.png,foreground,same as foreground,n02933112_-2,n03001627_9,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,random,left,Experiments/experiment_37/1008.jpg,Experiments/experiment_37/1009.jpg,Experiments/experiment_37/1010.jpg,Experiments/experiment_37/1011.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,left,2.2431,a,3.4343,0.0,3.0,3.0,3.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04256520_5/img_17th_c._monastery_dining_table_2010_meridiani_belmondo_bench_sofa_2010_gray.jpg,n04379243_0,n04256520_5,fixed,0.745141,n04256520_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04256520_5/img_17th_c._monastery_dining_table_2010_meridiani_belmondo_bench_sofa_2010-3_gray.png,foreground,same as foreground,n04379243_0,n02818832_3,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,right,Experiments/experiment_37/1012.jpg,Experiments/experiment_37/1013.jpg,Experiments/experiment_37/1014.jpg,Experiments/experiment_37/1015.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04379243_8/img_b05_c-5_classic_series_bench-2012_glass_table_2010_gray.jpg,n02828884_4,n04379243_8,flexible,0.755283,n04379243_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04379243_8/img_b05_c-5_classic_series_bench-2012_glass_table_2010-3_gray.png,foreground,same as foreground,n02828884_4,n03928116_10,Stimuli/canonical view 2/img_n02828884_4_gray.jpg,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,random,left,Experiments/experiment_37/0.jpg,Experiments/experiment_37/1.jpg,Experiments/experiment_37/2.jpg,Experiments/experiment_37/3.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,g,5.4302,left,"[""left""]",[2.3134999999999764],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n03928116_0/img_chair_eames_plastic_armchair_b02_piano_2004_gray.jpg,n03001627_9,n03928116_0,fixed,0.784478,n04256520_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n04256520_5/img_buffet_meridiani_belmondo_bench_sofa_2003-3_gray.png,random,flexible,n03001627_9,n03928116_0,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,foreground,left,Experiments/experiment_37/4.jpg,Experiments/experiment_37/5.jpg,Experiments/experiment_37/6.jpg,Experiments/experiment_37/7.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,right,"[""right""]",[2.1539999999999964],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04256520_4/img_b03_box_club_house_italia_nautilus_sofa_2006_gray.jpg,n02883344_0,n04256520_4,fixed,0.846694,n04405907_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04405907_8/img_17th_c._monastery_dining_table_2010_stylized_tv_2009-3_gray.png,random,flexible,n02883344_0,n04256520_4,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,foreground,right,Experiments/experiment_37/8.jpg,Experiments/experiment_37/9.jpg,Experiments/experiment_37/10.jpg,Experiments/experiment_37/11.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,right,"[""right""]",[2.2060000000000173],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02933112_-2/img_bed01_blue_sink_base_white_wood_2005_gray.jpg,n02818832_9,n02933112_-2,fixed,0.715352,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04070727_0/n03928116_0/img_b03_ka90ivi20r_2013__vray_b02_piano_2014-3_gray.png,random,flexible,n02818832_9,n02933112_-2,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,foreground,right,Experiments/experiment_37/12.jpg,Experiments/experiment_37/13.jpg,Experiments/experiment_37/14.jpg,Experiments/experiment_37/15.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,right,"[""right""]",[1.8552999999998292],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n02883344_-1/img_chair_billiani_doll_woven_box_2007_gray.jpg,n03001627_8,n02883344_-1,flexible,0.758966,n02883344_-1,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n02883344_-1/img_chair_billiani_doll_woven_box_2007-3_gray.png,foreground,same as foreground,n03001627_8,n02883344_-1,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,foreground,left,Experiments/experiment_37/16.jpg,Experiments/experiment_37/17.jpg,Experiments/experiment_37/18.jpg,Experiments/experiment_37/19.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,right,"[""right""]",[1.010200000000168],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n03928116_10/img_club_house_italia_nautilus_sofa_ydp_103_r_2012__vray_2005_gray.jpg,n04256520_4,n03928116_10,flexible,0.81985,n04256520_4,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04256520_4/img_b03_box_club_house_italia_nautilus_sofa_2008-3_gray.png,random,flexible,n04256520_4,n04405907_9,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,right,Experiments/experiment_37/20.jpg,Experiments/experiment_37/21.jpg,Experiments/experiment_37/22.jpg,Experiments/experiment_37/23.jpg,612,1,2023-04-03_17h21.57.068,Occlusion_Psychophysics,2022.1.4,Linux x86_64,60.0348202,,,right,"[""right""]",[1.2912999999998647],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
