in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,End_tutorial.keys,End_tutorial.rt,Tutorial_loop.thisRepN,Tutorial_loop.thisTrialN,Tutorial_loop.thisN,Tutorial_loop.thisIndex,Tutorial_loop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Input_selection.rt,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n04256520_5/img_glass_table_meridiani_belmondo_bench_sofa_2013_gray.jpg,n04379243_8,n04256520_5,fixed,0.753057,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n03928116_0/img_club_house_italia_nautilus_sofa_b02_piano_2014-3_gray.png,random,flexible,n04379243_8,n02883344_15,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,random,right,Experiments/experiment_46/368.jpg,Experiments/experiment_46/369.jpg,Experiments/experiment_46/370.jpg,Experiments/experiment_46/371.jpg,,,right,"[""right""]",False,,0.0,0.0,92.0,92.0,92.0,1.0,[2.0029000000059796],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_0/n02933112_-2/img_b02_piano_sink_base_white_wood_2010_gray.jpg,n03928116_0,n02933112_-2,flexible,0.720226,n02933112_-2,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_0/n02933112_-2/img_b02_piano_sink_base_white_wood_2010-3_gray.png,foreground,same as foreground,n03928116_0,n02818832_3,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,left,Experiments/experiment_46/372.jpg,Experiments/experiment_46/373.jpg,Experiments/experiment_46/374.jpg,Experiments/experiment_46/375.jpg,,,left,"[""right""]",False,,0.0,0.0,93.0,93.0,93.0,1.0,[2.273099999993974],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n03928116_0/img_quatre_dining_table_b02_piano_2000_gray.jpg,n04379243_-7,n03928116_0,fixed,0.771184,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n03928116_0/img_quatre_dining_table_b02_piano_2000-3_gray.png,foreground,same as foreground,n04379243_-7,n03928116_0,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,foreground,left,Experiments/experiment_46/376.jpg,Experiments/experiment_46/377.jpg,Experiments/experiment_46/378.jpg,Experiments/experiment_46/379.jpg,,,left,"[""left""]",False,,0.0,0.0,94.0,94.0,94.0,1.0,[1.63900000000001],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04256520_5/img_chair_billiani_doll_meridiani_belmondo_bench_sofa_2008_gray.jpg,n03001627_8,n04256520_5,flexible,0.713493,n04256520_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04256520_5/img_chair_billiani_doll_meridiani_belmondo_bench_sofa_2008-3_gray.png,foreground,same as foreground,n03001627_8,n04256520_5,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,foreground,left,Experiments/experiment_46/380.jpg,Experiments/experiment_46/381.jpg,Experiments/experiment_46/382.jpg,Experiments/experiment_46/383.jpg,,,right,"[""left""]",False,,0.0,0.0,95.0,95.0,95.0,1.0,[1.1398000000044703],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n04405907_5/img_chair_eames_plastic_armchair_samsung_40_uhd_smart_tv_2011_2012_gray.jpg,n03001627_9,n04405907_5,fixed,0.856733,n04405907_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n04405907_5/img_chair_eames_plastic_armchair_samsung_40_uhd_smart_tv_2011_2012-3_gray.png,foreground,same as foreground,n03001627_9,n02883344_15,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,random,right,Experiments/experiment_46/384.jpg,Experiments/experiment_46/385.jpg,Experiments/experiment_46/386.jpg,Experiments/experiment_46/387.jpg,,,right,,False,,0.0,0.0,96.0,96.0,96.0,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_0/n04405907_5/img_17th_c._monastery_dining_table_2010_samsung_40_uhd_smart_tv_2011_2012_gray.jpg,n04379243_0,n04405907_5,fixed,0.707823,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n03928116_0/img_dp_33_b_2013__vray_b02_piano_2013-3_gray.png,random,flexible,n04379243_0,n04405907_5,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_46/388.jpg,Experiments/experiment_46/389.jpg,Experiments/experiment_46/390.jpg,Experiments/experiment_46/391.jpg,,,left,"[""left""]",False,,0.0,0.0,97.0,97.0,97.0,1.0,[1.1223999999984926],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n04405907_9/img_stylized_tv_vray_004_2014_gray.jpg,n04405907_8,n04405907_9,flexible,0.718754,n04405907_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n04405907_9/img_stylized_tv_vray_004_2014-3_gray.png,foreground,same as foreground,n04405907_8,n04405907_5,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,random,left,Experiments/experiment_46/392.jpg,Experiments/experiment_46/393.jpg,Experiments/experiment_46/394.jpg,Experiments/experiment_46/395.jpg,,,right,"[""left""]",False,,0.0,0.0,98.0,98.0,98.0,1.0,[1.308499999999981],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n04405907_8/img_sink_base_white_wood_stylized_tv_2012_gray.jpg,n02933112_-2,n04405907_8,fixed,0.729043,n02933112_4,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n02933112_4/img_chair_billiani_doll_buffet_2004-3_gray.png,random,flexible,n02933112_-2,n04405907_8,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,foreground,left,Experiments/experiment_46/396.jpg,Experiments/experiment_46/397.jpg,Experiments/experiment_46/398.jpg,Experiments/experiment_46/399.jpg,,,left,"[""right""]",False,,0.0,0.0,99.0,99.0,99.0,1.0,[1.1649999999999636],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,2023-04-03_19h12.44.597,Occlusion_Psychophysics,2022.1.4,Win32,60.0024001,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04405907_5/img_chair_billiani_doll_samsung_40_uhd_smart_tv_2011_2008_gray.jpg,n03001627_8,n04405907_5,flexible,0.758261,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_8/n04405907_5/img_chair_billiani_doll_samsung_40_uhd_smart_tv_2011_2008-3_gray.png,foreground,same as foreground,n03001627_8,n02818832_0,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,random,left,Experiments/experiment_46/400.jpg,Experiments/experiment_46/401.jpg,Experiments/experiment_46/402.jpg,Experiments/experiment_46/403.jpg,,,right,"[""left""]",False,,0.0,0.0,0.0,0.0,0.0,1.0,[1.6967000000029202],,,,,,
