in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,75.3939,space,6.3738,space,8.3179,space,7.1349,space,8.9537,space,19.5376,space,17.8747,space,7.1902,a,15.5505,space,5.0003,0.05,left,0.6273,a,4.9295,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n03928116_4/img_vray_004_dp_33_b_2013__vray_2013_gray.jpg,n04405907_9,n03928116_4,fixed,0.771902,n03928116_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n03928116_4/img_vray_004_dp_33_b_2013__vray_2013-3_gray.png,foreground,same as foreground,n04405907_9,n04256520_4,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,right,Experiments/experiment_47/1000.jpg,Experiments/experiment_47/1001.jpg,Experiments/experiment_47/1002.jpg,Experiments/experiment_47/1003.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02933112_4/img_napoleon_iii_sofa_buffet_2005_gray.jpg,n04256520_9,n02933112_4,fixed,0.710443,n02933112_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02933112_4/img_napoleon_iii_sofa_buffet_2005-3_gray.png,foreground,same as foreground,n04256520_9,n02933112_4,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,foreground,left,Experiments/experiment_47/0.jpg,Experiments/experiment_47/1.jpg,Experiments/experiment_47/2.jpg,Experiments/experiment_47/3.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,a,1.1624,right,"[""left""]",[0.28750000000002274],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n03928116_0/img_stylized_tv_b02_piano_2006_gray.jpg,n04405907_8,n03928116_0,fixed,0.705576,n03928116_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n03928116_0/img_stylized_tv_b02_piano_2006-3_gray.png,foreground,same as foreground,n04405907_8,n04256520_4,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,left,Experiments/experiment_47/4.jpg,Experiments/experiment_47/5.jpg,Experiments/experiment_47/6.jpg,Experiments/experiment_47/7.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,right,"[""right""]",[0.6620000000000346],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n02818832_3/img_dp_33_b_2013__vray_b05_ccm_contemporary_bed_max2013_2015_gray.jpg,n03928116_4,n02818832_3,fixed,0.70076,n02818832_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n02818832_3/img_dp_33_b_2013__vray_b05_ccm_contemporary_bed_max2013_2015-3_gray.png,foreground,same as foreground,n03928116_4,n02818832_3,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,foreground,right,Experiments/experiment_47/8.jpg,Experiments/experiment_47/9.jpg,Experiments/experiment_47/10.jpg,Experiments/experiment_47/11.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,left,"[""left""]",[0.09640000000035798],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02883344_0/img_buffet_b03_box_2003_gray.jpg,n02933112_4,n02883344_0,fixed,0.741815,n04405907_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_3/n04405907_8/img_b05_ccm_contemporary_bed_max2013_stylized_tv_2003-3_gray.png,random,fixed,n02933112_4,n04405907_9,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,left,Experiments/experiment_47/12.jpg,Experiments/experiment_47/13.jpg,Experiments/experiment_47/14.jpg,Experiments/experiment_47/15.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,left,"[""right""]",[0.5620000000000118],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02933112_-2/img_buffet_sink_base_white_wood_2007_gray.jpg,n02933112_4,n02933112_-2,fixed,0.704655,n02933112_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02933112_-2/img_buffet_sink_base_white_wood_2007-3_gray.png,foreground,same as foreground,n02933112_4,n02933112_-2,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,foreground,left,Experiments/experiment_47/16.jpg,Experiments/experiment_47/17.jpg,Experiments/experiment_47/18.jpg,Experiments/experiment_47/19.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,left,"[""right""]",[0.17659999999966658],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_15/n04379243_-7/img_microwave_box_quatre_dining_table_2003_gray.jpg,n02883344_15,n04379243_-7,flexible,0.707243,n02818832_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n02818832_9/img_stylized_tv_bed01_blue_2006-3_gray.png,random,flexible,n02883344_15,n02883344_-1,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,random,right,Experiments/experiment_47/20.jpg,Experiments/experiment_47/21.jpg,Experiments/experiment_47/22.jpg,Experiments/experiment_47/23.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,right,"[""left""]",[0.12649999999996453],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n04405907_5/img_quatre_dining_table_samsung_40_uhd_smart_tv_2011_2012_gray.jpg,n04379243_-7,n04405907_5,flexible,0.703503,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n04405907_5/img_quatre_dining_table_samsung_40_uhd_smart_tv_2011_2012-3_gray.png,foreground,same as foreground,n04379243_-7,n04405907_5,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,left,Experiments/experiment_47/24.jpg,Experiments/experiment_47/25.jpg,Experiments/experiment_47/26.jpg,Experiments/experiment_47/27.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,left,"[""right""]",[0.27119999999922584],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02818832_9/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_bed01_blue_2011_gray.jpg,n02818832_0,n02818832_9,flexible,0.861983,n02818832_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_0/n02818832_9/img_b03_the_sofa_and_chair_company_-_stanley_bed_2014_bed01_blue_2011-3_gray.png,foreground,same as foreground,n02818832_0,n02818832_9,Stimuli/canonical view 2/img_n02818832_0_gray.jpg,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,foreground,left,Experiments/experiment_47/28.jpg,Experiments/experiment_47/29.jpg,Experiments/experiment_47/30.jpg,Experiments/experiment_47/31.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,right,"[""right""]",[0.28059999999959473],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_5/img_dp_33_b_2013__vray_samsung_40_uhd_smart_tv_2011_2014_gray.jpg,n03928116_4,n04405907_5,flexible,0.711809,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_5/img_dp_33_b_2013__vray_samsung_40_uhd_smart_tv_2011_2014-3_gray.png,foreground,same as foreground,n03928116_4,n04405907_5,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_47/32.jpg,Experiments/experiment_47/33.jpg,Experiments/experiment_47/34.jpg,Experiments/experiment_47/35.jpg,358,1,2023-04-17_17h28.55.923,Occlusion_Psychophysics,2022.1.4,Win32,59.99880002,,,left,"[""left""]",[0.2265999999996211],False,,0.0,0.0,8.0,8.0,8.0,1.0,,,,,,
