in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,right,2.099,right,0.712,right,0.094,left,0.006,right,0.112,left,0.01,right,0.19,right,0.476,a,4.036,a,1.604,0.05,right,1.095,a,3.065,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n03001627_8/img_stylized_tv_chair_billiani_doll_2010_gray.jpg,n04405907_8,n03001627_8,flexible,0.737579,n02818832_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02818832_9/img_b03_box_bed01_blue_2006-3_gray.png,random,fixed,n04405907_8,n02818832_3,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,right,Experiments/experiment_13/1000.jpg,Experiments/experiment_13/1001.jpg,Experiments/experiment_13/1002.jpg,Experiments/experiment_13/1003.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_0/n02828884_3/img_b02_piano_b04_wood_metal_park_bench_2011_gray.jpg,n03928116_0,n02828884_3,fixed,0.730199,n02828884_3,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_0/n02828884_3/img_b02_piano_b04_wood_metal_park_bench_2011-3_gray.png,foreground,same as foreground,n03928116_0,n02828884_3,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_13/0.jpg,Experiments/experiment_13/1.jpg,Experiments/experiment_13/2.jpg,Experiments/experiment_13/3.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,right,2.238,right,"[""right""]",[1.0149999999999864],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n04256520_5/img_glass_table_meridiani_belmondo_bench_sofa_2007_gray.jpg,n04379243_8,n04256520_5,fixed,0.78771,n04256520_5,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n04256520_5/img_glass_table_meridiani_belmondo_bench_sofa_2007-3_gray.png,foreground,same as foreground,n04379243_8,n04405907_9,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,left,Experiments/experiment_13/4.jpg,Experiments/experiment_13/5.jpg,Experiments/experiment_13/6.jpg,Experiments/experiment_13/7.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,left,"[""left""]",[0.7939999999999827],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2011_gray.jpg,n03928116_4,n04256520_9,fixed,0.709696,n04256520_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2011-3_gray.png,foreground,same as foreground,n03928116_4,n04405907_8,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,random,right,Experiments/experiment_13/8.jpg,Experiments/experiment_13/9.jpg,Experiments/experiment_13/10.jpg,Experiments/experiment_13/11.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,left,"[""left""]",[0.8029999999999973],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02883344_-1/img_buffet_woven_box_2005_gray.jpg,n02933112_4,n02883344_-1,flexible,0.740922,n02883344_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n02883344_0/img_club_house_italia_nautilus_sofa_b03_box_2007-3_gray.png,random,fixed,n02933112_4,n03001627_9,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,random,right,Experiments/experiment_13/12.jpg,Experiments/experiment_13/13.jpg,Experiments/experiment_13/14.jpg,Experiments/experiment_13/15.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,right,"[""right""]",[0.8729999999999905],False,,0.0,0.0,3.0,3.0,3.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_-1/n04256520_4/img_woven_box_club_house_italia_nautilus_sofa_2002_gray.jpg,n02883344_-1,n04256520_4,fixed,0.797853,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n02883344_-1/img_sink_base_white_wood_woven_box_2000-3_gray.png,random,fixed,n02883344_-1,n04256520_4,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,foreground,right,Experiments/experiment_13/16.jpg,Experiments/experiment_13/17.jpg,Experiments/experiment_13/18.jpg,Experiments/experiment_13/19.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,left,"[""left""]",[0.7950000000000159],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_3/n04256520_4/img_b05_ccm_contemporary_bed_max2013_club_house_italia_nautilus_sofa_2000_gray.jpg,n02818832_3,n04256520_4,flexible,0.749357,n02818832_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n02818832_3/img_sink_base_white_wood_b05_ccm_contemporary_bed_max2013_2004-3_gray.png,random,flexible,n02818832_3,n04379243_8,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,random,left,Experiments/experiment_13/20.jpg,Experiments/experiment_13/21.jpg,Experiments/experiment_13/22.jpg,Experiments/experiment_13/23.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,right,"[""left""]",[1.2090000000000032],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n04256520_5/img_buffet_meridiani_belmondo_bench_sofa_2000_gray.jpg,n02933112_4,n04256520_5,fixed,0.796693,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n03928116_0/img_b05_c-5_classic_series_bench-2012_b02_piano_2003-3_gray.png,random,flexible,n02933112_4,n04256520_5,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,foreground,left,Experiments/experiment_13/24.jpg,Experiments/experiment_13/25.jpg,Experiments/experiment_13/26.jpg,Experiments/experiment_13/27.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,right,"[""left""]",[1.7719999999999914],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n04256520_4/img_meridiani_belmondo_bench_sofa_club_house_italia_nautilus_sofa_2008_gray.jpg,n04256520_5,n04256520_4,fixed,0.773449,n04256520_4,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n04256520_4/img_meridiani_belmondo_bench_sofa_club_house_italia_nautilus_sofa_2008-3_gray.png,foreground,same as foreground,n04256520_5,n03928116_0,Stimuli/canonical view 2/img_n04256520_5_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,random,right,Experiments/experiment_13/28.jpg,Experiments/experiment_13/29.jpg,Experiments/experiment_13/30.jpg,Experiments/experiment_13/31.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,left,"[""left""]",[1.7970000000000255],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02883344_15/img_b03_box_microwave_box_2014_gray.jpg,n02883344_0,n02883344_15,fixed,0.820172,n02883344_15,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02883344_15/img_b03_box_microwave_box_2014-3_gray.png,foreground,same as foreground,n02883344_0,n02933112_-18,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,random,right,Experiments/experiment_13/32.jpg,Experiments/experiment_13/33.jpg,Experiments/experiment_13/34.jpg,Experiments/experiment_13/35.jpg,269,1,2023-09-17_10h50.30.176,Occlusion_Psychophysics,2022.1.4,Win32,32,,,left,"[""right""]",[1.7660000000000196],False,,0.0,0.0,8.0,8.0,8.0,1.0,,,,,,
